conversation_id,turn_index,role,content,language
conv_05938,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05938,1,user,"Oru code pattern-la A=1, B=2, C=3 nu alphabet position use panrom. Oru word-oda code letters-oda values total nu assume pannunga. BAD word-oda code total enna nu calculate pannunga.",tanglish
conv_05938,2,assistant,"B = 2, A = 1, D = 4. Indha values-ai add pannina 2 + 1 + 4 = 7. Adhanala BAD word-oda code total 7.",tanglish
conv_05938,3,user,Adhe rule-la FACE word-oda code total enna?,tanglish
conv_05938,4,assistant,"F = 6, A = 1, C = 3, E = 5. Total 6 + 1 + 3 + 5 = 15. Adhanala FACE word-oda code total 15.",tanglish
conv_05939,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05939,1,user,Oru store-la 50 shirts irundhuchu. Morning 18 shirts sell aachu. Afternoon-la morning sales-oda half count sell aachu. Evening-la 5 shirts return vandhuchu nu stock-ku add pannunga. Final stock ethana?,tanglish
conv_05939,2,assistant,"Morning 18 shirts sell aana stock 50 - 18 = 32. Afternoon sales morning-oda half, so 18 ÷ 2 = 9 shirts sell aachu; stock 32 - 9 = 23. Evening 5 shirts return vandhu stock-ku add aana 23 + 5 = 28. Final stock 28 shirts.",tanglish
conv_05939,3,user,Adhula 8 shirts marubadiyum sell aana stock ethana remaining?,tanglish
conv_05939,4,assistant,Final stock 28 irundhuchu. 8 shirts sell aana 28 - 8 = 20. Adhanala 20 shirts remaining.,tanglish
conv_05940,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05940,1,user,Ella approved applications-um verification complete pannirukkum. Application X verification complete aagirukku. Indha information base-la Application X approved nu definite-ah conclude panna mudiyuma?,tanglish
conv_05940,2,assistant,"Mudiyadhu. Approved application na verification complete nu rule solludhu, aana verification complete aana ella applications-um approved nu sollala. Verification complete aagirundhaalum approval pending illa rejected-a irukka possibility irukku.",tanglish
conv_05940,3,user,Application Y approved nu direct-ah sonna verification status pathi enna conclude panna mudiyum?,tanglish
conv_05940,4,assistant,Application Y approved na kudutha rule base-la verification complete aagirukkanum nu definite-ah conclude panna mudiyum.,tanglish
conv_05941,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05941,1,user,"Naalu rooms 1, 2, 3, 4-la Arun, Bala, Chitra, Deepa stay pannuraanga. Oru room-ku oru person. Arun Room 1-la illa. Bala Room 4-la fixed. Chitra Room 2-la fixed. Deepa Arun-ai vida lower room number-la irukkanum. Yaar endha room-la iruppanga?",tanglish
conv_05941,2,assistant,"Bala Room 4, Chitra Room 2 fixed. Remaining Room 1 matrum Room 3 Arun, Deepa-kku. Deepa Arun-ai vida lower room number-la irukkanum, so Deepa Room 1, Arun Room 3. Final assignment: Room 1 Deepa, Room 2 Chitra, Room 3 Arun, Room 4 Bala.",tanglish
conv_05941,3,user,Arun-kku adjacent room numbers-la yaar irukkaanga?,tanglish
conv_05941,4,assistant,"Arun Room 3-la irukkaaru. Adjacent rooms Room 2 matrum Room 4. Room 2-la Chitra, Room 4-la Bala irukkaanga.",tanglish
conv_05942,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05942,1,user,"Oru number sequence 3, 8, 15, 24, 35 nu irukku. Consecutive numbers-kulla difference epdi maarudhu nu analyze panni, adutha rendu numbers enna varum nu reasoning-oda sollunga.",tanglish
conv_05942,2,assistant,"Consecutive differences 5, 7, 9, 11 nu odd numbers-ah 2 increment aagudhu. Adutha differences 13 matrum 15. So 35 + 13 = 48, adhukkappuram 48 + 15 = 63. Adhanala adutha rendu numbers 48 matrum 63.",tanglish
conv_05942,3,user,Indha same pattern-la 63-ku adutha number enna varum?,tanglish
conv_05942,4,assistant,15-ku adutha odd difference 17. 63 + 17 = 80. Adhanala adutha number 80.,tanglish
conv_05943,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05943,1,user,"Oru competition-la Priya, Meena, Kavya, Divya naalu per participate pannanga. Priya Meena-vai vida adhiga score eduthanga. Kavya Priya-vai vida kammi, aana Meena-vai vida adhiga score eduthanga. Divya ellaraiyum vida adhiga score eduthanga. Highest-lendhu lowest varaikkum complete ranking enna?",tanglish
conv_05943,2,assistant,"Divya ellaraiyum vida highest. Priya Meena-vai vida higher. Kavya Priya-vai vida lower, aana Meena-vai vida higher. Adhanala complete ranking Divya > Priya > Kavya > Meena.",tanglish
conv_05943,3,user,"Kavya-voda position enna, avanga immediate mela yaar irukkaanga?",tanglish
conv_05943,4,assistant,Kavya third position-la irukkaanga. Avangalukku immediate mela second position-la Priya irukkaanga.,tanglish
conv_05944,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05944,1,user,Oru warehouse-la 240 boxes irukku. Adhula quarter boxes morning dispatch aagudhu. Remaining boxes-la one-third afternoon dispatch aagudhu. Afternoon dispatch mudinja apram warehouse-la ethana boxes remaining irukkum?,tanglish
conv_05944,2,assistant,240-oda quarter = 240 ÷ 4 = 60 boxes. Morning 60 dispatch aana 180 boxes remaining. Remaining 180-oda one-third = 60 boxes afternoon dispatch aagum. Adhanala final-ah 180 - 60 = 120 boxes warehouse-la remaining.,tanglish
conv_05944,3,user,Final 120 boxes-la 25 percent evening dispatch aana ethana boxes baaki irukkum?,tanglish
conv_05944,4,assistant,120-oda 25 percent = 30 boxes. Evening 30 boxes dispatch aana 120 - 30 = 90 boxes baaki irukkum.,tanglish
conv_05945,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05945,1,user,"Oru project-la Research, Design, Development, Testing indha naalu stages irukku. Design-ku munnadi Research complete aaganum. Development-ku munnadi Design complete aaganum. Testing-ku munnadi Development complete aaganum. Ippo Development complete aagirukku na endha stages kandippa complete aagirukkanum?",tanglish
conv_05945,2,assistant,"Development complete aagirukku na adhukku munnadi Design complete aagirukkanum. Design complete aaganumna adhukku munnadi Research complete aagirukkanum. Adhanala Research, Design, Development moonu stages-um complete aagirukkanum. Testing status pathi indha information-la edhuvum definite-ah solla mudiyadhu.",tanglish
conv_05945,3,user,Testing complete nu additional-ah sonna appo naalu stages-um complete nu solla mudiyuma?,tanglish
conv_05945,4,assistant,"Aama. Development already complete, adhoda prerequisites Research matrum Design-um complete. Testing-um complete nu additional information irukkaradhunaala naalu stages-um complete nu solla mudiyum.",tanglish
conv_05946,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05946,1,user,"Oru cab 6:45 PM-ku start aagudhu. First location reach panna 35 minutes aagum. Anga 20 minutes wait pannitu, second location-ku travel panna 50 minutes aagum. Second location reach time enna nu correct sequence-la calculate pannunga.",tanglish
conv_05946,2,assistant,6:45 PM-ku start panni 35 minutes travel pannina first location-ai 7:20 PM-ku reach pannum. 20 minutes wait pannina 7:40 PM-ku kelambum. Adhukkappuram 50 minutes travel pannina second location-ai 8:30 PM-ku reach pannum.,tanglish
conv_05946,3,user,First location-la waiting time 10 minutes mattum na second location reach time enna?,tanglish
conv_05946,4,assistant,First location-ai 7:20 PM-ku reach pannum. 10 minutes wait pannina 7:30 PM-ku kelambum. 50 minutes travel pannina second location-ai 8:20 PM-ku reach pannum.,tanglish
conv_05947,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05947,1,user,Ella engineers-um technical employees. Sila technical employees team leads. Manoj oru engineer. Indha statements base-la Manoj technical employee nu solla mudiyuma? Manoj team lead nu solla mudiyuma? Rendu conclusions-ai separate-ah reason pannunga.,tanglish
conv_05947,2,assistant,"Manoj technical employee nu definite-ah solla mudiyum, yenna Manoj engineer, ella engineers-um technical employees. Aana Manoj team lead nu solla mudiyadhu. Sila technical employees mattum team leads nu theriyum; Manoj andha group-la irukkaaru nu information illa.",tanglish
conv_05947,3,user,Manoj team lead nu additional information kudutha avar technical employee-um team lead-um nu definite aaguma?,tanglish
conv_05947,4,assistant,Aama. Manoj engineer nu irukkaradhunaala avar technical employee nu already prove aagudhu. Manoj team lead nu direct additional information-um irukkaradhunaala rendu conclusions-um definite.,tanglish
conv_05948,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05948,1,user,Oru class-la 36 students irukkaanga. Boys count girls count-ai vida 6 adhigam. Boys matrum girls count serthu 36 na rendu group-layum ethana students irukkaanga nu reasoning-oda solve pannunga.,tanglish
conv_05948,2,assistant,"Girls count-ai x nu eduthukkalaam. Boys count x + 6. Rendu group total 36, so x + x + 6 = 36. 2x = 30, x = 15. Adhanala girls 15, boys 21.",tanglish
conv_05948,3,user,3 boys absent aana present boys count matrum total present students ethana?,tanglish
conv_05948,4,assistant,Boys 21-la 3 absent na 18 boys present. Girls ellarum present nu assume pannina 15 girls iruppanga. Total present students 18 + 15 = 33.,tanglish
conv_05949,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05949,1,user,"Anu, Bala, Charan moonu perum red, green, blue nu different colour shirts wear pannirukkaanga. Anu red wear pannala. Bala blue wear pannaaru. Charan red wear pannaaru. Indha clues base-la Anu endha colour shirt wear pannirukkaanga?",tanglish
conv_05949,2,assistant,"Bala blue, Charan red nu fixed. Moonu perum different colours wear pannirukkaradhunaala remaining colour green. Adhanala Anu green shirt wear pannirukkaanga.",tanglish
conv_05949,3,user,Charan red condition-ai remove pannina Anu colour unique-ah determine panna mudiyuma?,tanglish
conv_05949,4,assistant,"Mudiyadhu. Bala blue nu mattum fixed, Anu red illa nu condition irukku. Appo Anu green-a irukkalaam, aana remaining assignments base-la additional clue illaama full arrangement unique-ah determine panna mudiyadhu.",tanglish
conv_05950,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05950,1,user,"Naan south direction-ai face panni nikkiren. Right turn panni 12 metre nadakkiren, apram right turn panni 5 metre nadakkiren, adhukkappuram left turn panni 7 metre nadakkiren. Final-ah endha direction-ai face pannitu iruppen?",tanglish
conv_05950,2,assistant,Start-la south face pannureenga. South-lendhu right turn pannina west. West-lendhu right turn pannina north. North-lendhu left turn pannina west. Adhanala final-ah west direction-ai face pannitu iruppeenga.,tanglish
conv_05950,3,user,Final position-la opposite direction-ai face pannanum na endha direction-ku turn aaganum?,tanglish
conv_05950,4,assistant,Ippo west direction-ai face pannureenga. West-oda opposite direction east. Adhanala east direction-ai face pannanum.,tanglish
conv_05951,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05951,1,user,"Oru shop-la 3 pens matrum 2 notebooks serthu 190 rupees. Oru pen 30 rupees na, oru notebook price evlo nu equation reasoning use panni calculate pannunga.",tanglish
conv_05951,2,assistant,3 pens-oda cost 3 × 30 = 90 rupees. Total 190-la pens cost 90 subtract pannina 2 notebooks-oda cost 100 rupees. Adhanala oru notebook price 100 ÷ 2 = 50 rupees.,tanglish
conv_05951,3,user,Appo 2 pens matrum 4 notebooks vaangina total cost evlo?,tanglish
conv_05951,4,assistant,2 pens-ku 2 × 30 = 60 rupees. 4 notebooks-ku 4 × 50 = 200 rupees. Total 60 + 200 = 260 rupees.,tanglish
conv_05952,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05952,1,user,Oru file access rule irukku. User admin-a irundha file edit panna mudiyum. Priya file edit panna mudiyudhu nu mattum namakku theriyum. Priya admin nu definite-ah conclude panna mudiyuma? Kudutha rule direction-ai consider panni answer pannunga.,tanglish
conv_05952,2,assistant,"Mudiyadhu. Rule ""admin na edit panna mudiyum"" nu solludhu. Aana ""edit panna mudinja kandippa admin"" nu sollala. Vera roles-kum edit permission irukka possibility irukku, adhanala Priya admin nu definite-ah conclude panna mudiyadhu.",tanglish
conv_05952,3,user,Priya admin nu direct-ah sonna file edit permission pathi enna conclude panna mudiyum?,tanglish
conv_05952,4,assistant,Priya admin nu direct-ah therinja kudutha rule base-la avangalukku file edit permission irukku nu definite-ah conclude panna mudiyum.,tanglish
conv_05953,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05953,1,user,Oru queue-la Ravi front-lendhu 7-vadhu position-la irukkaaru. Back-lendhu 12-vadhu position-la irukkaaru. Queue-la total ethana per irukkaanga nu calculate pannunga.,tanglish
conv_05953,2,assistant,"Ravi front-lendhu 7-vadhu, back-lendhu 12-vadhu. Total count kandupidikka 7 + 12 - 1 pannanum, yenna Ravi rendu count-layum include aagirukkaaru. So total 18 per.",tanglish
conv_05953,3,user,"Ravi-kku munnadi ethana per, pinnadi ethana per irukkaanga?",tanglish
conv_05953,4,assistant,Front-lendhu Ravi 7-vadhu na avarukku munnadi 6 per. Back-lendhu 12-vadhu na avarukku pinnadi 11 per irukkaanga.,tanglish
conv_05954,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05954,1,user,"Oru bag-la red, blue, yellow nu moonu colour balls irukku. Red 5, blue 4, yellow 3. Paakama minimum ethana balls edutha kandippa same colour-la rendu balls kidaikkum? Logical guarantee base-la explain pannunga.",tanglish
conv_05954,2,assistant,"Worst case-la mudhal 3 balls-um red, blue, yellow nu ovvoru colour-lendhu onnu onna varalaam. Naalavadhu ball endha colour-a irundhaalum already edutha moonu colours-la edhaavadhu onnu repeat aaganum. Adhanala minimum 4 balls edutha same colour-la rendu balls kandippa kidaikkum.",tanglish
conv_05954,3,user,Moonu balls mattum edutha same colour pair kandippa kidaikkuma?,tanglish
conv_05954,4,assistant,"Kidaikkaadhu. Moonu balls red, blue, yellow nu moonu different colours-ah varalaam. Adhanala 3 balls-la same colour pair guarantee illa.",tanglish
conv_05955,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05955,1,user,"Oru company-la 60 employees irukkaanga. 35 per Python theriyum, 30 per SQL theriyum, 15 per rendu skills-um theriyum. Python illa SQL edhaavadhu oru skill therinja total employees ethana? Endha skill-um theriyaadha employees ethana?",tanglish
conv_05955,2,assistant,"Python 35 + SQL 30 = 65. Rendu skills-um therinja 15 per double count aagirukkaanga, so edhaavadhu oru skill therinja total 65 - 15 = 50 employees. Company total 60, adhanala endha skill-um theriyaadhavanga 60 - 50 = 10 employees.",tanglish
conv_05955,3,user,Python mattum therinja employees ethana per?,tanglish
conv_05955,4,assistant,"Python therinja total 35 per, adhula 15 per-ku SQL-um theriyum. So Python mattum therinja employees 35 - 15 = 20 per.",tanglish
conv_05956,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05956,1,user,"Oru delivery route-la A-lendhu B-ku 40 km, B-lendhu C-ku 30 km, C-lendhu D-ku 50 km. Driver A-lendhu start panni C varaikkum reach pannittaaru. Total route-la evlo distance complete pannirukkaaru, evlo distance remaining?",tanglish
conv_05956,2,assistant,A-lendhu C varaikkum A-B 40 km + B-C 30 km = 70 km complete pannirukkaaru. Full route A-D = 40 + 30 + 50 = 120 km. Adhanala remaining distance 120 - 70 = 50 km.,tanglish
conv_05956,3,user,C-lendhu D direction-la innum 20 km travel pannina total completed matrum remaining distance enna?,tanglish
conv_05956,4,assistant,"Already 70 km complete pannirundhaar. Innum 20 km travel pannina total completed 90 km. Full route 120 km, so remaining 120 - 90 = 30 km.",tanglish
conv_05957,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05957,1,user,"Naalu tasks P, Q, R, S irukku. Q-ku munnadi P complete aaganum. S-ku munnadi R complete aaganum. R-ku munnadi Q complete aaganum. Indha dependencies base-la task execution order enna?",tanglish
conv_05957,2,assistant,"Q-ku munnadi P, so P -> Q. R-ku munnadi Q, so P -> Q -> R. S-ku munnadi R complete aaganum. Adhanala complete execution order P -> Q -> R -> S.",tanglish
conv_05957,3,user,Q complete aana udane S start panna mudiyuma?,tanglish
conv_05957,4,assistant,Mudiyadhu. S start aaguradhukku R complete aaganum. Q complete aana apram R execute panni complete pannina dhaan S start panna mudiyum.,tanglish
conv_05958,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05958,1,user,"Oru cinema hall-la 200 seats irukku. First show-ku 70 percent seats booked aagirukku. Booked seats ethana, available seats ethana nu calculate pannunga.",tanglish
conv_05958,2,assistant,200-oda 70 percent = 140 seats. Adhanala 140 seats booked. Available seats 200 - 140 = 60.,tanglish
conv_05958,3,user,Available 60 seats-la 25 seats marubadiyum book aana occupancy total ethana seats aagum?,tanglish
conv_05958,4,assistant,Already 140 seats booked. Innum 25 book aana total occupied seats 140 + 25 = 165. Remaining available seats 35.,tanglish
conv_05959,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05959,1,user,"Oru password rule-la minimum 8 characters irukkanum, at least oru number irukkanum. Password ""swico123"" indha rendu conditions-ai satisfy pannudha? Ovvoru condition-ai check panni answer pannunga.",tanglish
conv_05959,2,assistant,"""swico123""-la total 8 characters irukku, so minimum length condition satisfy aagudhu. Adhula 1, 2, 3 numbers irukku, so number condition-um satisfy aagudhu. Adhanala kudutha rendu rules base-la password valid.",tanglish
conv_05959,3,user,"Password ""swicoabc"" na result enna?",tanglish
conv_05959,4,assistant,"""swicoabc""-la 8 characters irukku, so length condition satisfy aagudhu. Aana oru number-um illa, adhanala number condition fail aagudhu. So kudutha rules base-la password valid illa.",tanglish
conv_05960,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05960,1,user,"Oru family-la Ramesh, Karthik-oda appa. Karthik, Nila-oda appa. Nila, Varun-oda akka. Indha information base-la Ramesh-kku Varun enna relationship, Karthik-kku Varun enna relationship?",tanglish
conv_05960,2,assistant,"Karthik Nila-oda appa. Nila Varun-oda akka na Karthik Varun-ukkum appa. Ramesh Karthik-oda appa, adhanala Ramesh Varun-oda thaatha. So Ramesh Varun-oda thaatha, Karthik Varun-oda appa.",tanglish
conv_05960,3,user,Appo Varun-kku Nila enna relationship?,tanglish
conv_05960,4,assistant,Nila Varun-oda akka nu direct-ah kuduthirukku. Adhanala Varun-kku Nila akka.,tanglish
conv_05961,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05961,1,user,Oru machine 15 minutes-la 120 bottles fill pannudhu. Same constant speed-la 1 hour-la ethana bottles fill pannum? Adhula 10 percent bottles quality check-la reject aana usable bottles ethana?,tanglish
conv_05961,2,assistant,"1 hour = 60 minutes, adhu 15 minutes-oda 4 intervals. So 120 × 4 = 480 bottles fill pannum. 480-oda 10 percent = 48 bottles reject. Adhanala usable bottles 480 - 48 = 432.",tanglish
conv_05961,3,user,Reject rate 5 percent mattum na usable bottles ethana irukkum?,tanglish
conv_05961,4,assistant,Total production 480 bottles. 5 percent reject = 24 bottles. So usable bottles 480 - 24 = 456.,tanglish
conv_05962,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05962,1,user,Ella secure websites-um HTTPS use pannum nu oru rule kuduthirukkaanga. Website A HTTPS use pannudhu. Indha rule mattum base-la Website A secure nu conclude panna mudiyuma? Logic direction-ai clear-ah explain pannunga.,tanglish
conv_05962,2,assistant,"Mudiyadhu. Rule ""secure website na HTTPS use pannum"" nu solludhu. Aana ""HTTPS use panna ella websites-um secure"" nu reverse rule kudukkala. Adhanala Website A HTTPS use pannudhu nu mattum vechu secure nu definite-ah conclude panna mudiyadhu.",tanglish
conv_05962,3,user,Website B secure nu direct-ah therinja HTTPS use pannum nu solla mudiyuma?,tanglish
conv_05962,4,assistant,"Aama. Website B secure nu direct-ah theriyum, ella secure websites-um HTTPS use pannum nu rule irukku. Adhanala Website B HTTPS use pannum nu conclude panna mudiyum.",tanglish
conv_05963,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05963,1,user,Oru race track 400 metres. Ravi 3 full rounds complete pannitu innum 150 metres run pannaaru. Avar total-ah ethana metres run pannirukkaaru? 2 kilometre target reach panna innum evlo distance run pannanum?,tanglish
conv_05963,2,assistant,3 full rounds = 3 × 400 = 1200 metres. Adhoda 150 metres add pannina total 1350 metres. 2 kilometre = 2000 metres. Remaining distance 2000 - 1350 = 650 metres.,tanglish
conv_05963,3,user,Innum oru full round complete pannina target-ku ethana metres remaining?,tanglish
conv_05963,4,assistant,"Already 1350 metres run pannirukkaaru. Oru full round 400 metres add pannina total 1750 metres. 2000 - 1750 = 250 metres, so target-ku innum 250 metres remaining.",tanglish
conv_05964,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05964,1,user,"Oru five-floor building-la Ravi, Arun-ai vida mela floor-la irukkaaru. Meena Ravi-ai vida mela floor-la irukkaanga. Kavin Arun-ai vida keela floor-la irukkaaru. Exact floor numbers theriyala. Indha clues base-la yaar highest position-la irukkaanga nu determine panna mudiyuma?",tanglish
conv_05964,2,assistant,"Aama. Meena Ravi-ai vida mela, Ravi Arun-ai vida mela, Arun Kavin-ai vida mela. So chain Meena > Ravi > Arun > Kavin. Indha naalu per-la Meena dhaan highest floor position-la irukkaanga.",tanglish
conv_05964,3,user,Exact-ah Meena endha floor-la irukkaanga nu solla mudiyuma?,tanglish
conv_05964,4,assistant,"Mudiyadhu. Relative order mattum theriyum, exact floor number assign panna pothumaana information illa. Meena highest among indha naalu per nu mattum definite-ah solla mudiyum.",tanglish
conv_05965,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05965,1,user,"Oru monthly budget 30000 rupees. Rent-ku 12000, food-ku 7000, travel-ku 3500, bills-ku 2500 spend pannuren. Remaining amount savings-ku pogum na savings evlo? Total spending percentage-um calculate pannunga.",tanglish
conv_05965,2,assistant,Total spending = 12000 + 7000 + 3500 + 2500 = 25000 rupees. Remaining savings = 30000 - 25000 = 5000 rupees. Spending percentage = 25000 / 30000 × 100 = approximately 83.33 percent.,tanglish
conv_05965,3,user,Travel expense 1500 rupees reduce aana savings evlo aagum?,tanglish
conv_05965,4,assistant,Travel expense 3500-lendhu 2000 rupees aagum. Total spending 25000 - 1500 = 23500 rupees. Savings 30000 - 23500 = 6500 rupees.,tanglish
conv_05966,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05966,1,user,"Oru box-la 10 cards irukku, cards 1-lendhu 10 varaikkum number pannirukku. Random-ah oru card edutha even number varra chance adhigama, odd number varra chance adhigama, illa equal-a? Counts base-la explain pannunga.",tanglish
conv_05966,2,assistant,"1-lendhu 10 varaikkum even numbers 2, 4, 6, 8, 10 nu 5 cards. Odd numbers 1, 3, 5, 7, 9 nu 5 cards. Rendu group-layum equal count irukkaradhunaala even matrum odd varra chance equal.",tanglish
conv_05966,3,user,Card 10-ai remove pannina appo endha type-ku adhiga chance?,tanglish
conv_05966,4,assistant,"Card 10 even number. Adhai remove pannina even cards 4, odd cards 5 remaining. Adhanala odd number varra chance adhigam.",tanglish
conv_05967,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05967,1,user,"Oru number sequence 2, 6, 12, 20, 30, 42 nu irukku. Consecutive numbers-kulla difference-ai analyze panni pattern enna nu identify pannunga. Adutha rendu numbers enna varum nu clear reasoning-oda sollunga.",tanglish
conv_05967,2,assistant,"Consecutive differences 4, 6, 8, 10, 12 nu ovvoru step-layum 2 increase aagudhu. Adhanala adutha differences 14 matrum 16. 42 + 14 = 56, adhukkappuram 56 + 16 = 72. So adutha rendu numbers 56 matrum 72.",tanglish
conv_05967,3,user,Indha sequence-ai vera oru multiplication pattern-la explain panna mudiyuma?,tanglish
conv_05967,4,assistant,"Aama. Numbers-ai 1 × 2 = 2, 2 × 3 = 6, 3 × 4 = 12, 4 × 5 = 20, 5 × 6 = 30, 6 × 7 = 42 nu represent panna mudiyum. Adhanala next values 7 × 8 = 56 matrum 8 × 9 = 72. Rendu reasoning methods-um same answer kudukkudhu.",tanglish
conv_05968,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05968,1,user,"Ainthu students Arun, Bala, Charan, Deepa, Ezhil height base-la compare pannirukkaanga. Arun Bala-vai vida taller. Charan Arun-ai vida taller. Deepa Bala-vai vida shorter. Ezhil Charan-ai vida taller. Indha clues base-la tallest matrum shortest yaar nu determine pannunga.",tanglish
conv_05968,2,assistant,"Clues-ai chain-ah arrange pannina Ezhil > Charan > Arun > Bala > Deepa nu varudhu. Adhanala Ezhil tallest, Deepa shortest.",tanglish
conv_05968,3,user,"Arun-kku mela ethana per irukkaanga, keela ethana per irukkaanga?",tanglish
conv_05968,4,assistant,Arun-kku mela Charan matrum Ezhil nu 2 per irukkaanga. Arun-kku keela Bala matrum Deepa nu 2 per irukkaanga.,tanglish
conv_05969,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
conv_05969,1,user,Oru shop-la total 80 juice bottles irukku. Morning-la stock-oda 25 percent sell aagudhu. Afternoon-la remaining stock-lendhu 20 bottles sell aagudhu. Adhukkappuram 15 pudhu bottles stock-ku add pannina final stock ethana?,tanglish
conv_05969,2,assistant,80-oda 25 percent = 20 bottles. Morning sales apram 80 - 20 = 60 bottles remaining. Afternoon 20 bottles sell aana 60 - 20 = 40. Adhukkappuram 15 bottles add pannina final stock 40 + 15 = 55 bottles.,tanglish
conv_05969,3,user,Final 55 bottles-la 5 damaged nu remove pannina usable stock ethana?,tanglish
conv_05969,4,assistant,Final stock 55 bottles. Adhula 5 damaged bottles remove pannina 55 - 5 = 50. Adhanala usable stock 50 bottles.,tanglish
conv_05970,0,system,"You are Swico, a helpful AI assistant. Understand the user's question and provide a simple, clear, accurate, and relevant answer in Tanglish using Tamil words written in English letters.",en
